species	WGS_kraken2_kraken2_standard_ONT_ZMB1	WGS_kraken2_kraken2_standard_NovaSeq_ZMB1	WGS_kraken2_kraken2_standard_MySeq_ZHMW4	WGS_kraken2_kraken2_standard_MySeq_ZHMW3	WGS_kraken2_kraken2_standard_MySeq_ZHMW2	WGS_kraken2_kraken2_standard_MySeq_ZHMW1	WGS_kraken2_kraken2_standard_MySeq_Q4	WGS_kraken2_kraken2_standard_MySeq_Q3	WGS_kraken2_kraken2_standard_MySeq_Q2	WGS_kraken2_kraken2_standard_MySeq_Q1	WGS_kraken2_kraken2_standard_MySeq_MN4	WGS_kraken2_kraken2_standard_MySeq_MN3	WGS_kraken2_kraken2_standard_MySeq_MN2	WGS_kraken2_kraken2_standard_MySeq_MN1	WGS_kraken2_kraken2_standard_MySeq_I4	WGS_kraken2_kraken2_standard_MySeq_I3	WGS_kraken2_kraken2_standard_MySeq_I2	WGS_kraken2_kraken2_standard_MySeq_I1
Campylobacter_pinnipediorum	3	1	0	0	0	0	1	1	3	3	1	0	0	1	0	2	4	0
Campylobacter_rectus	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Campylobacter_showae	12	88	2	4	5	6	0	0	0	0	6	3	3	16	1	4	7	3
Campylobacter_sp._CCUG_57310	1	2	0	2	0	2	0	1	0	0	0	2	1	0	0	1	1	1
Campylobacter_sp._CS_NA3	2	3	2	1	1	1	0	0	0	0	4	3	0	3	3	3	6	4
Campylobacter_sp._RM10537	2	2	0	0	1	0	4	0	0	3	1	2	0	1	3	2	1	2
Campylobacter_sp._RM12175	2	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	3	1
Campylobacter_sp._RM12651	5	3	0	3	0	0	1	1	0	0	0	0	1	1	1	0	1	2
Campylobacter_sp._RM16192	15	34	0	0	0	0	2	1	1	0	0	1	0	1	1	0	1	1
Campylobacter_sp._RM16704	2	4	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1
Campylobacter_sp._RM5004	15	12	1	1	1	0	6	9	8	6	3	3	6	6	3	1	6	0
Campylobacter_sp._RM6137	0	5	0	2	1	1	2	2	1	1	1	0	3	3	2	5	3	2
Campylobacter_sp._RM6914	37	1	0	2	0	0	0	0	1	0	0	0	0	1	1	0	4	0
Campylobacter_sputorum	14	4	1	3	3	2	2	9	1	10	4	5	8	11	1	0	16	7
Campylobacter_subantarcticus	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	1	6	0
Campylobacter_upsaliensis	979	8676	870	569	484	1056	2291	3141	1941	3291	85	245	1149	432	680	687	3801	757
Campylobacter_ureolyticus	20	3	3	0	3	0	4	6	5	4	2	0	3	3	1	0	6	2
Campylobacter_volucris	17	8	1	2	1	1	0	0	0	0	1	2	2	3	1	1	2	2
Campylobacter_vulpis	7	69	7	11	5	13	33	30	35	30	0	1	9	4	6	3	32	7
Candidatus_Amoebophilus_asiaticus	2	2	0	1	2	1	1	0	0	0	1	1	0	1	0	0	1	0
Candidatus_Arcticimaribacter_forsetii	2	0	0	1	1	0	0	0	0	0	2	1	1	6	4	1	6	4
Candidatus_Arsenophonus_lipoptenae	0	11	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	3
Candidatus_Arthromitus_sp._SFB-rat-Yit	11	25	5	2	9	4	3	2	1	2	2	5	18	17	11	8	9	8
Candidatus_Atelocyanobacterium_thalassa	3	4	2	1	2	1	0	1	0	0	1	2	1	10	6	3	8	4
Candidatus_Azobacteroides_pseudotrichonymphae	2	9	1	0	0	0	1	3	1	2	0	1	0	0	1	1	1	0
Candidatus_Babela_massiliensis	3	5	0	2	5	0	0	1	0	0	1	1	2	5	1	2	3	1
Candidatus_Bandiella_numerosa	0	6	2	2	0	1	0	0	0	0	1	2	1	3	3	0	8	4
Candidatus_Baumannia_cicadellinicola	3	2	0	0	1	1	2	1	1	3	0	0	0	0	1	1	1	0
Candidatus_Blochmannia_chromaiodes	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Blochmannia_vafer	1	0	0	0	0	0	0	0	2	3	0	0	2	1	0	0	2	2
Candidatus_Borreliella_tachyglossi	14	4	0	0	0	0	0	0	0	1	2	0	2	3	1	0	6	2
Candidatus_Campylobacter_infans	8	4	1	0	0	2	0	0	0	2	0	0	0	1	0	0	1	0
Candidatus_Cardinium_hertigii	2	0	3	11	6	4	1	2	0	0	3	0	3	4	3	2	8	4
Candidatus_Chazhemtobacterium_aquaticus	2	3	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0
Candidatus_Chlamydia_sanziniae	1	2	5	2	3	2	0	0	0	0	3	1	4	3	3	3	4	4
Candidatus_Chromulinivorax_destructor	18	0	0	0	0	1	0	3	2	1	0	1	1	0	0	0	0	0
Candidatus_Cloacimonas_acidaminovorans	7	19	0	3	1	1	0	0	0	1	3	2	5	5	1	2	5	3
Candidatus_Contubernalis_alkalaceticus	7	33	4	9	6	9	1	0	1	0	10	6	11	23	6	6	15	6
Candidatus_Cytomitobacter_primus	2	0	0	0	2	0	1	0	1	0	1	1	0	1	1	1	2	1
Candidatus_Deianiraea_vastatrix	0	3	0	0	0	0	1	2	1	3	0	0	0	0	1	1	1	0
Candidatus_Desulforudis_audaxviator	14	99	22	12	10	19	0	0	0	0	14	14	23	38	17	17	55	17
Candidatus_Desulfovibrio_trichonymphae	7	4	1	2	2	5	1	0	0	0	0	2	0	1	0	0	1	0
Candidatus_Endolissoclinum_faulkneri	0	4	0	1	0	1	0	0	0	0	1	0	0	1	0	1	2	0
Candidatus_Endomicrobium_trichonymphae	12	31	1	2	4	3	0	0	0	0	6	2	9	12	4	7	10	3
Candidatus_Epulopiscium_viviparus	77	80	18	16	16	14	6	11	4	5	21	14	21	48	16	21	44	17
Candidatus_Erwinia_haradaeae	26	45	4	6	7	8	19	32	27	23	11	6	17	6	17	10	45	14
Candidatus_Filomicrobium_marinum	5	70	4	8	7	11	0	0	0	0	10	3	11	26	7	5	18	14
Candidatus_Fonsibacter_ubiquis	4	1	4	0	4	2	0	0	0	0	6	4	5	8	2	2	9	4
Candidatus_Formimonas_warabiya	88	97	3	3	3	7	1	2	0	2	2	8	6	22	11	8	19	8
Candidatus_Fukatsuia_symbiotica	7	11	0	0	3	0	0	0	0	0	1	0	0	2	0	0	0	0
Candidatus_Gullanella_endobia	1	0	0	0	0	0	1	2	0	1	1	1	2	2	1	1	1	0
Candidatus_Hamiltonella_defensa	44	22	1	0	2	1	0	0	0	0	2	1	3	6	6	7	1	4
Candidatus_Ichthyocystis_hellenicum	4	3	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
Candidatus_Kaistella_beijingensis	3	7	0	0	1	1	2	0	1	1	1	1	0	4	1	1	3	4
Candidatus_Karelsulcia_muelleri	8	2	0	1	0	0	1	1	1	1	1	0	0	5	3	1	4	2
Candidatus_Kinetoplastibacterium_blastocrithidii	1	2	0	0	2	0	2	0	0	0	0	1	2	0	0	0	2	0
Candidatus_Kinetoplastibacterium_crithidii	4	5	0	0	1	0	0	1	0	0	2	1	2	1	1	0	1	2
Candidatus_Kinetoplastibacterium_desouzaii	2	2	1	3	1	0	0	0	1	0	2	0	1	5	2	3	4	1
Candidatus_Kinetoplastibacterium_galatii	0	0	0	0	1	1	0	3	0	2	1	1	1	4	1	0	2	2
Candidatus_Kinetoplastibacterium_sorsogonicusi	1	6	0	0	0	0	0	2	0	2	2	1	1	2	0	1	3	1
Candidatus_Koribacter_versatilis	5	21	1	0	1	1	0	0	0	0	1	0	1	6	0	0	2	1
Candidatus_Kuenenia_stuttgartiensis	16	40	4	1	2	0	0	0	0	0	5	9	13	17	11	7	17	8
Candidatus_Liberibacter_africanus	5	11	11	7	8	18	1	2	4	4	11	8	12	25	12	8	33	11
Candidatus_Liberibacter_americanus	2	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Candidatus_Methanoliparum_sp._LAM-1	0	1	1	0	0	1	0	0	0	1	0	0	4	0	1	1	5	2
Candidatus_Methanomassiliicoccus_intestinalis	14	65	3	5	1	4	1	0	0	0	6	2	7	9	2	2	11	3
Candidatus_Methanoplasma_termitum	2	1	0	0	3	0	0	0	0	0	1	1	0	5	1	0	7	1
Candidatus_Methylopumilus_planktonicus	3	11	0	0	2	0	2	3	0	2	1	2	4	2	2	1	1	1
Candidatus_Methylopumilus_rimovensis	0	3	0	1	0	0	2	3	1	3	2	1	0	1	2	2	3	0
Candidatus_Methylopumilus_turicensis	0	0	0	0	0	3	4	2	1	5	0	1	0	0	1	1	0	0
Candidatus_Methylopumilus_universalis	6	8	0	0	3	0	0	3	2	1	1	1	0	1	1	1	2	1
Candidatus_Methylospira_mobilis	4	3	2	5	3	2	0	1	0	0	0	0	2	2	0	1	5	1
Candidatus_Midichloria_mitochondrii	27	7	0	1	0	0	1	1	3	5	0	0	1	4	1	3	4	2
Candidatus_Mycobacterium_methanotrophicum	10	19	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Candidatus_Mycobacterium_wuenschmannii	0	17	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
Candidatus_Nanopelagicus_abundans	0	1	1	1	0	0	0	3	0	0	1	1	1	0	4	1	4	0
Candidatus_Nanosynbacter_featherlites	5	10	1	2	0	0	1	1	0	1	0	0	0	0	1	1	0	0
Candidatus_Nanosynbacter_lyticus	24	46	4	3	3	0	0	0	0	3	1	0	0	1	0	0	1	3
Candidatus_Nanosynbacter_sp._HMT-352	3	10	1	1	2	1	1	0	0	0	0	2	2	3	1	0	2	0
Candidatus_Neptunochlamydia_sp._REUL1	2	3	0	0	0	3	0	0	0	0	2	1	4	2	0	0	2	1
Candidatus_Nitrosacidococcus_sp._I8	4	10	1	4	4	9	1	2	3	6	8	11	8	21	6	5	16	6
Candidatus_Nitrosacidococcus_tergens	3	0	1	0	0	0	1	3	3	1	1	0	0	2	2	0	3	1
Candidatus_Nitrosocosmicus_oleophilus	36	0	0	0	0	0	0	1	0	0	1	5	3	1	2	1	3	0
Candidatus_Nitrosoglobus_terrae	2	2	0	3	1	0	1	1	4	2	1	1	2	2	2	1	9	1
Candidatus_Nitrosopumilus_koreensis	4	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	2	1
Candidatus_Nitrosopumilus_sediminis	3	0	1	0	0	1	0	0	0	0	0	2	2	5	1	3	5	4
Candidatus_Nitrosopumilus_sp._SW	11	29	0	1	0	0	0	0	0	0	1	1	0	1	0	2	1	1
Candidatus_Nitrososphaera_gargensis	7	14	1	2	1	3	0	0	0	0	0	1	0	4	0	0	1	1
Candidatus_Nitrosotenuis_cloacae	5	6	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1
Candidatus_Nitrospira_allomarina	1	1	0	1	0	1	1	1	2	1	0	0	1	0	0	0	0	0
Candidatus_Nitrospira_inopinata	3	16	0	2	1	2	0	0	0	0	3	2	1	3	0	0	1	1
Candidatus_Nitrotoga_arctica	27	29	0	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0
Candidatus_Nucleicultrix_amoebiphila	3	2	0	0	4	0	0	0	0	0	0	0	4	2	1	2	2	0
Candidatus_Ornithobacterium_hominis	2	1	2	0	1	1	0	1	0	1	3	0	1	5	0	0	3	0
Candidatus_Paracaedibacter_acanthamoebae	4	2	0	0	0	1	0	2	0	0	0	0	0	3	0	2	1	1
Candidatus_Paraluminiphilus_aquimaris	5	23	5	3	2	7	1	2	2	1	2	4	3	10	5	4	14	6
Candidatus_Pelagibacter_giovannonii	1	8	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1
Candidatus_Pelagibacter_sp._FZCC0015	3	2	1	0	0	1	0	0	0	0	1	1	2	8	1	0	4	0
Candidatus_Pelagibacter_sp._HIMB1321	2	1	0	0	2	1	0	1	0	1	7	7	15	14	8	6	23	11
Candidatus_Pelagibacter_sp._IMCC9063	2	0	0	3	3	2	0	2	1	0	2	4	8	8	5	4	12	3
Candidatus_Pelagibacter_sp._RS39	2	5	0	3	1	0	1	2	3	1	0	0	0	0	1	1	1	1
Candidatus_Pelagibacter_sp._RS40	14	23	3	5	2	0	1	0	0	0	2	3	9	5	4	2	7	6
Candidatus_Pelagisphaera_phototrophica	2	0	0	0	1	1	0	0	0	0	1	1	2	2	1	3	3	0
Candidatus_Phycorickettsia_trachydisci	3	1	1	0	4	3	0	0	0	2	0	0	4	1	0	1	1	1
Candidatus_Phytoplasma_australiense	0	1	0	0	1	0	3	0	0	0	0	1	3	2	3	2	9	0
Candidatus_Phytoplasma_luffae	0	1	0	0	0	0	2	2	1	0	0	1	2	0	0	0	1	1
Candidatus_Planktophila_dulcis	16	6	0	1	1	0	1	3	0	0	0	1	2	2	0	1	3	0
Candidatus_Planktophila_lacus	4	5	2	2	3	4	0	0	0	0	1	0	0	9	2	2	8	4
Candidatus_Planktophila_vernalis	0	3	0	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0
Candidatus_Portiera_aleyrodidarum	10	15	0	1	1	0	0	0	1	1	2	2	1	2	1	2	2	0
Candidatus_Profftia_lariciata	3	1	1	1	1	1	1	3	0	2	2	1	2	7	1	5	0	1
Candidatus_Profftia_tarda	0	12	0	0	0	1	0	0	0	0	1	0	0	2	1	2	1	0
Candidatus_Prometheoarchaeum_syntrophicum	32	2	0	1	0	0	2	0	0	4	1	0	0	3	1	2	5	2
Candidatus_Promineifilum_breve	8	12	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Candidatus_Protochlamydia_amoebophila	50	22	1	3	1	2	0	1	0	0	7	4	5	16	6	6	13	9
Candidatus_Pseudomonas_adelgestsugas	0	3	0	0	0	0	3	2	3	2	2	0	2	2	3	0	7	3
Candidatus_Pseudothioglobus_singularis	8	85	0	2	1	0	1	4	1	4	0	0	1	5	0	0	3	0
Candidatus_Purcelliella_pentastirinorum	0	2	1	0	1	0	0	0	0	0	3	3	3	6	7	6	5	3
Candidatus_Reidiella_endopervernicosa	2	9	1	0	0	1	0	0	0	0	1	0	1	1	2	1	2	3
Candidatus_Rhabdochlamydia_oedothoracis	0	0	1	0	3	1	2	4	1	4	1	1	3	4	0	2	6	0
Candidatus_Riesia_pediculicola	11	12	1	0	5	0	0	0	0	0	0	2	5	9	3	6	7	2
Candidatus_Ruthturnera_calyptogenae	1	1	1	2	0	1	1	1	2	5	0	0	0	0	0	0	0	1
Candidatus_Schneideria_nysicola	2	14	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Candidatus_Sneabacter_namystus	3	16	0	0	2	0	0	0	0	0	0	1	1	1	0	1	0	0
Candidatus_Steffania_adelgidicola	4	6	0	0	0	0	2	1	5	1	0	0	1	2	0	0	2	0
Candidatus_Sulfidibacterium_hydrothermale	3	7	2	3	0	3	0	1	0	0	0	0	2	6	2	2	2	1
Candidatus_Sulfuricurvum_sp._RIFRC-1	1	1	0	1	0	0	0	0	0	0	2	6	3	7	0	0	4	3
Candidatus_Sulfurimonas_marisnigri	9	3	2	0	0	0	1	1	3	3	1	0	1	4	2	1	5	3
Candidatus_Symbiobacter_mobilis	0	0	1	1	0	1	2	3	2	2	0	0	0	0	0	0	0	1
Candidatus_Syntrophocurvum_alkaliphilum	5	7	8	2	5	3	1	1	1	3	4	6	12	16	13	5	20	8
Candidatus_Tachikawaea_gelatinosa	33	14	0	0	0	1	0	0	0	1	3	1	3	4	3	4	7	3
Candidatus_Thiodiazotropha_sp._CDECU1	42	14	0	0	1	1	0	2	1	1	0	1	2	1	3	1	6	1
Candidatus_Thiodictyon_syntrophicum	3	21	1	0	0	3	0	0	0	0	1	1	0	2	0	0	4	1
Candidatus_Thioglobus_autotrophicus	4	1	0	1	0	1	0	2	3	1	0	0	2	1	0	0	1	0
Candidatus_Thioglobus_sp._NP1	4	3	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	1
Candidatus_Uabimicrobium_amorphum	11	19	1	1	0	1	1	0	1	1	1	1	2	3	3	1	2	3
Candidatus_Vallotia_tarda	0	0	1	0	0	0	2	1	1	2	0	0	1	0	1	1	1	0
Candidatus_Vesicomyosocius_okutanii	18	9	0	1	2	0	0	0	0	2	0	0	2	0	0	1	1	1
Candidatus_Vesicomyosocius_sp._SY067_SCS001	0	0	0	0	0	0	0	0	1	3	1	3	2	0	0	2	5	2
Candidatus_Wolbachia_massiliensis	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	6	2
Capillimicrobium_parvum	19	7	21	0	0	0	0	0	0	0	1	6	2	2	1	1	5	1
Capnocytophaga_canimorsus	15	18	2	2	2	1	1	3	3	3	1	1	5	5	1	4	11	1
Capnocytophaga_cynodegmi	0	13	0	0	0	0	6	5	6	2	1	2	2	2	3	3	2	1
Capnocytophaga_endodontalis	6	1	0	2	0	1	0	0	0	0	0	0	0	2	0	1	2	1
Capnocytophaga_gingivalis	3	12	15	5	8	2	0	1	0	1	4	7	14	19	19	9	43	15
Capnocytophaga_haemolytica	5	8	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0
Capnocytophaga_leadbetteri	8	3	0	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0
Capnocytophaga_ochracea	1	7	0	0	0	1	2	1	1	2	0	0	0	1	0	0	0	1
Capnocytophaga_sp._H4358	2	6	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
Capnocytophaga_sp._oral_taxon_878	9	6	3	2	5	0	0	0	0	0	1	2	1	0	1	0	2	1
Capnocytophaga_sputigena	9	28	2	3	2	2	7	5	8	4	5	4	8	10	3	4	11	8
Capnocytophaga_stomatis	7	3	0	0	0	0	2	4	3	1	0	0	2	1	1	0	2	0
Caproicibacter_fermentans	135	114	20	25	29	19	8	6	4	5	22	17	44	55	22	19	52	21
Caproicibacterium_amylolyticum	139	246	46	35	31	39	4	7	1	3	39	30	58	107	51	42	108	47
Caproicibacterium_lactatifermentans	97	119	27	31	33	36	7	5	1	4	29	27	41	82	23	28	83	29
Caproicibacterium_sp._BJN0003	204	153	29	25	30	25	4	5	5	4	25	22	41	78	31	33	96	30
Caproicibacterium_sp._ZCY20-5	276	260	23	43	44	50	14	2	4	3	20	21	55	70	23	22	77	32
Caproiciproducens_sp._NJN-50	135	209	32	24	29	30	3	4	1	1	28	22	30	78	21	26	65	34
Capsulimonas_corticalis	16	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Carboxydocella_thermautotrophica	35	101	8	13	13	23	1	2	0	1	11	22	15	26	8	19	45	17
Carboxydothermus_hydrogenoformans	30	16	2	7	4	13	1	1	0	2	13	4	19	23	13	13	27	9
Cardiobacterium_hominis	4	23	2	2	0	1	0	3	1	2	2	2	2	3	0	1	2	1
Cardiobacterium_sp._Marseille-Q4385	17	99	3	5	6	15	1	0	0	0	6	11	15	29	5	10	28	10
Carnobacterium_divergens	34	34	2	4	1	4	2	2	2	4	2	3	5	9	1	8	5	3
Carnobacterium_inhibens	28	82	21	16	23	23	5	13	13	6	25	27	32	47	31	23	72	31
Carnobacterium_maltaromaticum	79	40	3	4	4	3	3	3	1	3	10	9	8	21	5	5	21	11
Carnobacterium_sp._17-4	61	21	3	2	0	3	1	4	6	2	4	4	5	8	6	6	16	7
Carnobacterium_sp._CS13	7	12	0	0	0	0	0	0	1	1	0	1	3	0	0	0	0	0
Carnobacterium_viridans	49	13	1	0	0	1	0	1	0	0	2	3	2	8	4	4	4	3
Castellaniella_defragrans	4	25	1	0	2	1	0	1	0	3	0	0	0	2	0	0	0	0
Catalinimonas_niigatensis	23	43	8	6	4	12	3	2	0	4	8	6	15	28	11	12	27	12
Catellatospora_sp._IY07-71	16	39	5	2	1	3	0	0	0	0	2	2	0	0	1	2	5	2
Catenibacterium_mitsuokai	111	292	953	1463	1071	882	794	294	176	606	2225	2062	3515	7778	4397	2738	8843	5668
Catenibacterium_sp._co_0103	160	464	3971	8539	3847	5299	8297	2827	1912	5928	19900	19043	30717	67074	42503	26538	86860	54423
Catenovulum_sediminis	21	14	0	1	1	5	0	0	0	0	2	0	0	1	4	3	0	4
Catenovulum_sp._TS8	3	1	0	0	1	2	1	2	1	1	0	1	0	1	0	0	1	0
Catenulispora_acidiphila	2	7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0
Caulifigura_coniformis	5	9	4	1	1	0	0	0	0	0	0	0	2	9	1	1	3	0
Caulobacter_flavus	4	10	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
Caulobacter_henricii	3	0	0	3	4	4	0	0	1	2	1	0	6	7	1	0	3	1
Caulobacter_rhizosphaerae	2	2	1	0	1	0	1	0	0	0	0	0	0	2	0	1	3	0
Caulobacter_segnis	19	16	5	11	4	6	1	0	0	0	1	3	3	6	4	0	2	3
Caulobacter_soli	5	12	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Caulobacter_sp._FWC26	8	5	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0
Caulobacter_sp._S6	35	30	4	5	7	6	0	0	0	0	6	7	6	17	5	9	14	4
Caulobacter_vibrioides	11	24	2	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
Cedecea_neteri	30	25	4	4	7	13	0	1	0	1	8	1	10	11	6	2	15	6
Cedecea_sp._FDAARGOS_727	4	38	4	4	3	1	5	3	4	3	2	3	6	11	3	2	9	4
Celeribacter_baekdonensis	14	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
Celerinatantimonas_diazotrophica	18	11	0	1	1	1	2	1	2	1	0	3	6	4	2	1	5	5
Cellulomonas_chengniuliangii	5	33	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
Cellulomonas_dongxiuzhuiae	1	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Cellulomonas_fengjieae	1	44	8	0	0	2	0	0	2	0	1	10	0	2	0	0	2	0
Cellulomonas_fimi	7	22	2	0	0	0	0	0	0	0	2	5	0	2	0	0	0	1
Cellulomonas_flavigena	5	36	3	4	3	8	0	0	0	0	8	11	7	28	4	7	12	5
Cellulomonas_gilvus	3	19	3	0	1	0	0	0	1	0	0	4	1	0	0	0	0	0
Cellulomonas_iranensis	8	17	4	4	3	5	0	0	0	0	3	2	4	14	1	2	10	4
Cellulomonas_palmilytica	3	8	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Cellulomonas_shaoxiangyii	8	22	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
Cellulomonas_sp._ATA003	10	125	2	2	1	4	0	0	1	0	2	6	6	14	0	2	6	6
Cellulomonas_sp._ES6	2	33	4	3	3	3	0	0	1	0	7	2	4	10	1	2	10	3
Cellulomonas_sp._H30R-01	4	57	6	8	7	9	0	0	0	0	7	5	10	31	6	7	22	2
Cellulomonas_sp._JZ18	9	20	1	2	2	2	0	0	0	0	2	2	3	5	1	0	3	1
Cellulomonas_sp._NS3	7	17	2	3	0	2	3	2	0	1	0	10	4	4	1	0	6	2
Cellulomonas_sp._PSBB021	2	13	3	5	2	3	0	0	0	0	2	5	5	11	4	12	11	1
Cellulomonas_sp._S1-8	6	145	9	4	7	11	0	0	0	0	6	4	5	18	5	4	19	8
Cellulomonas_sp._Y8	3	51	5	3	9	5	0	0	1	0	7	6	9	21	7	8	13	9
Cellulomonas_taurus	9	33	5	1	4	1	0	1	0	0	1	0	5	8	0	2	7	2
Cellulomonas_wangleii	1	8	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Cellulomonas_wangsupingiae	3	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulomonas_xiejunii	4	14	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
Cellulophaga_algicola	6	2	1	2	1	0	3	2	5	2	2	0	2	3	0	2	0	0
Cellulophaga_baltica	17	28	0	1	1	0	1	5	1	4	1	0	3	2	3	1	0	0
Cellulophaga_lytica	3	0	1	7	2	2	4	6	2	3	3	3	3	5	6	4	7	2
Cellulophaga_omnivescoria	4	10	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0
Cellulophaga_sp._HaHaR_3_176	5	1	0	2	0	0	0	0	2	0	0	0	0	0	1	4	0	0
Cellulophaga_sp._L1A9	22	32	6	6	1	4	0	0	1	1	1	2	3	10	2	2	3	2
Cellulosilyticum_lentocellum	77	95	5	10	28	33	1	1	2	0	10	10	24	38	12	18	21	14
Cellulosilyticum_sp._WCF-2	94	151	29	17	36	44	1	2	1	1	30	36	52	57	34	34	82	47
Cellulosimicrobium_cellulans	27	198	13	19	18	12	1	0	1	0	18	19	25	62	10	19	42	24
Cellvibrio_sp._KY-GH-1	8	36	2	2	5	4	0	3	0	1	5	3	7	25	4	7	14	5
Cellvibrio_sp._KY-YJ-3	3	10	5	5	13	3	0	0	0	0	2	1	5	9	2	6	8	4
Cellvibrio_sp._PSBB023	32	21	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cellvibrio_sp._QJXJ	7	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cereibacter_azotoformans	3	6	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cereibacter_sphaeroides	11	81	4	4	2	2	1	3	3	7	6	3	6	15	2	2	7	4
Cetobacterium_somerae	350	865	44	141	109	103	428	768	552	654	71	108	240	166	132	160	493	119
Chakrabartyella_piscis	330	381	23	29	31	22	11	13	9	11	31	34	50	69	35	29	90	41
Chamaesiphon_minutus	2	3	0	0	0	4	6	3	2	3	0	0	1	0	3	1	2	2
Changchengzhania_lutea	2	3	0	0	0	0	1	1	1	5	0	0	2	0	1	0	2	0
Changpingibacter_yushuensis	10	21	1	0	0	0	0	0	0	0	0	1	0	8	3	2	1	1
Chania_multitudinisentens	4	12	1	4	1	1	0	0	0	0	0	1	1	3	2	0	7	4
Chelativorans_sp._AA-79	1	6	2	1	3	0	0	0	0	0	0	1	1	1	1	1	0	4
Chelatococcus_daeguensis	1	3	3	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0
Chelatococcus_sp._CO-6	2	3	2	0	2	1	0	0	0	0	0	3	1	0	1	0	1	1
Chenggangzhangella_methanolivorans	4	4	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Chimaeribacter_arupi	7	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Chitinibacter_bivalviorum	1	8	3	6	1	4	0	2	1	6	1	2	2	6	3	1	0	1
Chitinibacter_fontanus	21	15	1	0	0	4	1	0	1	1	0	0	0	1	1	1	2	0
Chitinimonas_arctica	9	2	1	0	3	4	1	4	2	2	2	4	5	7	4	2	13	3
Chitinimonas_koreensis	4	18	4	0	1	0	0	0	0	1	1	2	2	1	0	2	1	3
Chitiniphilus_sp._CD1	7	35	1	5	4	4	0	1	0	0	3	1	3	6	3	4	3	1
Chitinolyticbacter_meiyuanensis	8	9	0	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0
Chitinophaga_agri	8	9	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0
Chitinophaga_alhagiae	2	9	1	1	2	1	1	3	7	5	2	1	0	2	0	3	2	1
Chitinophaga_caeni	4	0	0	0	0	2	1	0	1	0	0	0	0	0	0	1	1	0
Chitinophaga_filiformis	16	5	6	5	10	13	0	0	1	0	1	4	3	4	0	1	3	2
Chitinophaga_horti	12	3	0	1	0	0	0	1	1	1	2	0	2	1	1	3	3	1
Chitinophaga_oryzae	13	13	5	5	6	8	0	1	0	0	2	4	5	6	2	2	3	2
Chitinophaga_pinensis	6	10	0	0	3	0	2	6	1	5	1	0	9	6	2	4	3	9
Chitinophaga_sancti	8	7	0	0	0	2	2	4	1	1	0	0	1	0	0	2	2	0
Chitinophaga_sp._HK235	9	16	0	2	1	1	7	11	8	10	2	0	3	5	1	3	7	2
