species,protein,read_counts
uncultured Ruminococcus sp.,formate--tetrahydrofolate ligase,1
uncultured Ruminococcus sp.,putative ATP-binding component of a transport system,1
uncultured Ruminococcus sp.,hypothetical protein,3
uncultured Ruminococcus sp.,recombinase A,1
uncultured Ruminococcus sp.,elongation factor Tu,5
uncultured Ruminococcus sp.,phosphoribosylformylglycinamide synthetase,2
uncultured Ruminococcus sp.,glutamate dehydrogenase,2
uncultured Ruminococcus sp.,RNA polymerase sigma factor SigB,1
uncultured Ruminococcus sp.,endopeptidase Clp ATP-binding chain C,2
Blautia wexlerae,urease accessory protein,1
Blautia wexlerae,protein disaggregation chaperone,1
Blautia wexlerae,preprotein translocase subunit SecA,1
Blautia wexlerae,mannosyl-transferase,1
Blautia wexlerae,DNA-directed RNA polymerase subunit beta,1
Blautia wexlerae,imidazole glycerol phosphate synthase subunit HisF,3
Blautia wexlerae,serine hydroxymethyltransferase,1
Blautia wexlerae,urease,1
Blautia wexlerae,GTP binding translational elongation factor Tu and G family protein,1
Blautia wexlerae,ClpB protein,1
Blautia wexlerae,glutamate synthase NADPH large chain,1
Blautia wexlerae,urease accessory protein UreG,1
Blautia wexlerae,carbamoyl phosphate synthase large subunit,2
Blautia wexlerae,lysine decarboxylase,5
Blautia wexlerae,ATP-dependent protease ATP-binding subunit ClpX,3
Blautia wexlerae,GTP-binding protein LepA,1
Blautia wexlerae,S-adenosylmethionine synthase,1
Blautia wexlerae,amino acid ABC transporter permease,1
Blautia wexlerae,recombinase A,1
Blautia wexlerae,UreC,1
Blautia wexlerae,excinuclease ABC subunit A,4
Blautia wexlerae,formate--tetrahydrofolate ligase,1
Blautia wexlerae,endopeptidase Clp ATP-binding chain C,3
Blautia wexlerae,glutamate dehydrogenase,1
Blautia wexlerae,sugar ABC transporter ATP-binding protein,1
Blautia wexlerae,glucose-1-phosphate thymidylyltransferase,2
Blautia wexlerae,UDP-glucose 4-epimerase,1
Blautia wexlerae,molecular chaperone DnaK,1
Firmicutes bacterium CAG:194,endopeptidase Clp ATP-binding chain C,2
Firmicutes bacterium CAG:194,RNA polymerase sigma factor SigB,2
Firmicutes bacterium CAG:194,Type III secretion system ATPase,1
Firmicutes bacterium CAG:194,sugar ABC transporter ATP-binding protein,1
Firmicutes bacterium CAG:194,molecular chaperone DnaK,5
Firmicutes bacterium CAG:194,UDP-N-acetylglucosamine 2-epimerase,4
Firmicutes bacterium CAG:194,3-isopropylmalate dehydrogenase,3
Firmicutes bacterium CAG:194,hypothetical protein,1
Firmicutes bacterium CAG:194,2-isopropylmalate synthase,1
Firmicutes bacterium CAG:194,putative ATP-binding component of a transport system,2
Firmicutes bacterium CAG:194,hypothetical protein lmo2206,1
Firmicutes bacterium CAG:194,RNA polymerase sigma factor,1
Firmicutes bacterium CAG:194,excinuclease ABC subunit A,1
Firmicutes bacterium CAG:194,formate--tetrahydrofolate ligase,1
Firmicutes bacterium CAG:194,glutamate synthase NADPH large chain,1
Firmicutes bacterium CAG:194,GTP-binding protein LepA,1
Firmicutes bacterium CAG:194,UDP-glucose 6-dehydrogenase,4
Firmicutes bacterium CAG:194,hypothetical protein SPy_1633,1
Firmicutes bacterium CAG:194,F0F1 ATP synthase subunit alpha,1
Firmicutes bacterium CAG:194,ATP-dependent protease ATP-binding subunit ClpX,3
Firmicutes bacterium CAG:194,preprotein translocase subunit SecA,2
Firmicutes bacterium CAG:194,mannosyl-transferase,1
Firmicutes bacterium CAG:194,serine hydroxymethyltransferase,1
Firmicutes bacterium CAG:194,DNA excision repair protein subunit A,1
Firmicutes bacterium CAG:194,DNA-directed RNA polymerase subunit beta,1
Roseburia faecis,RNA polymerase sigma factor SigB,1
Roseburia faecis,glutamate dehydrogenase,1
Roseburia faecis,endopeptidase Clp ATP-binding chain C,2
Roseburia faecis,"dTDP-glucose 4,6-dehydratase",1
Roseburia faecis,phosphoribosylformylglycinamide synthetase,1
Roseburia faecis,molecular chaperone DnaK,3
Roseburia faecis,sugar ABC transporter ATP-binding protein,1
Roseburia faecis,glucose-1-phosphate thymidylyltransferase,1
Roseburia faecis,putative ATP-binding component of a transport system,1
Roseburia faecis,hypothetical protein,2
Roseburia faecis,ATP-dependent Clp protease proteolytic subunit,2
Roseburia faecis,elongation factor Tu,3
Roseburia faecis,excinuclease ABC subunit A,5
Roseburia faecis,RNA polymerase sigma factor,2
Roseburia faecis,hypothetical protein lmo2206,3
Roseburia faecis,glutamate synthase NADPH large chain,1
Roseburia faecis,ClpB protein,2
Roseburia faecis,F0F1 ATP synthase subunit alpha,2
Roseburia faecis,lysine decarboxylase,1
Roseburia faecis,ATP-dependent protease ATP-binding subunit ClpX,2
Roseburia faecis,GTP-binding protein LepA,1
Roseburia faecis,protein disaggregation chaperone,1
Roseburia faecis,DNA excision repair protein subunit A,1
Roseburia faecis,DNA-directed RNA polymerase subunit beta,1
Firmicutes bacterium AF25-13AC,glucose-1-phosphate thymidylyltransferase,1
Firmicutes bacterium AF25-13AC,molecular chaperone DnaK,2
Firmicutes bacterium AF25-13AC,endopeptidase Clp ATP-binding chain C,2
Firmicutes bacterium AF25-13AC,twitching motility protein PilT,2
Firmicutes bacterium AF25-13AC,RNA polymerase sigma factor,2
Firmicutes bacterium AF25-13AC,excinuclease ABC subunit A,2
Firmicutes bacterium AF25-13AC,transcriptional repressor CodY,1
Firmicutes bacterium AF25-13AC,3-isopropylmalate dehydrogenase,1
Firmicutes bacterium AF25-13AC,gluconate 5-dehydrogenase,4
Firmicutes bacterium AF25-13AC,recombinase A,2
Firmicutes bacterium AF25-13AC,pyruvate kinase,2
Firmicutes bacterium AF25-13AC,putative ATP-binding component of a transport system,1
Firmicutes bacterium AF25-13AC,carbamoyl phosphate synthase large subunit,1
Firmicutes bacterium AF25-13AC,GTP-binding protein LepA,2
Firmicutes bacterium AF25-13AC,F0F1 ATP synthase subunit alpha,1
Firmicutes bacterium AF25-13AC,lysine decarboxylase,3
Firmicutes bacterium AF25-13AC,hypothetical protein SP_0939,2
Firmicutes bacterium AF25-13AC,glutamate synthase NADPH large chain,1
Firmicutes bacterium AF25-13AC,serine hydroxymethyltransferase,1
Firmicutes bacterium AF25-13AC,DNA-directed RNA polymerase subunit beta,3
Firmicutes bacterium AF25-13AC,protein disaggregation chaperone,1
Firmicutes bacterium AF25-13AC,CTP synthetase,2
Firmicutes bacterium AF25-13AC,preprotein translocase subunit SecA,1
Ruminococcus bicirculans,endopeptidase Clp ATP-binding chain C,4
Ruminococcus bicirculans,sugar ABC transporter ATP-binding protein,1
Ruminococcus bicirculans,phosphoribosylformylglycinamide synthetase,2
Ruminococcus bicirculans,"dTDP-glucose 4,6-dehydratase",1
Ruminococcus bicirculans,molecular chaperone DnaK,1
Ruminococcus bicirculans,elongation factor Tu,2
Ruminococcus bicirculans,hypothetical protein,2
Ruminococcus bicirculans,RNA polymerase sigma factor,1
Ruminococcus bicirculans,formate--tetrahydrofolate ligase,2
Ruminococcus bicirculans,excinuclease ABC subunit A,3
Ruminococcus bicirculans,"Hsp60, 60K heat shock protein HtpB",2
Ruminococcus bicirculans,glutamate synthase NADPH large chain,3
Ruminococcus bicirculans,F0F1 ATP synthase subunit alpha,3
Ruminococcus bicirculans,formate acetyltransferase 3,1
Ruminococcus bicirculans,protein disaggregation chaperone,1
Ruminococcus bicirculans,urease subunit alpha,1
Ruminococcus bicirculans,DNA polymerase III PolC,1
Ruminococcus bicirculans,DNA-directed RNA polymerase subunit beta,1
Anaerostipes hadrus,DNA-directed RNA polymerase subunit beta,2
Anaerostipes hadrus,UDP-galactopyranose mutase,2
Anaerostipes hadrus,formate acetyltransferase,3
Anaerostipes hadrus,carbamoyl phosphate synthase large subunit,1
Anaerostipes hadrus,F0F1 ATP synthase subunit alpha,1
Anaerostipes hadrus,ATP-dependent protease ATP-binding subunit ClpX,4
Anaerostipes hadrus,GTP-binding protein LepA,1
Anaerostipes hadrus,S-adenosylmethionine synthase,1
Anaerostipes hadrus,"type I restriction-modification system, M subunit",1
Anaerostipes hadrus,glutamate synthase NADPH large chain,1
Anaerostipes hadrus,hypothetical protein lmo2206,2
Anaerostipes hadrus,RNA polymerase sigma factor,1
Anaerostipes hadrus,excinuclease ABC subunit A,4
Anaerostipes hadrus,ABC transporter ATP-binding protein,1
Anaerostipes hadrus,recombinase A,1
Anaerostipes hadrus,elongation factor Tu,1
Anaerostipes hadrus,pyruvate kinase,1
Anaerostipes hadrus,hypothetical protein,2
Anaerostipes hadrus,glucose-1-phosphate thymidylyltransferase,1
Anaerostipes hadrus,tryptophan synthase subunit beta,1
Firmicutes bacterium AM55-24TS,glutamate dehydrogenase,1
Firmicutes bacterium AM55-24TS,sugar ABC transporter ATP-binding protein,1
Firmicutes bacterium AM55-24TS,phosphoribosylformylglycinamide synthetase,4
Firmicutes bacterium AM55-24TS,molecular chaperone DnaK,1
Firmicutes bacterium AM55-24TS,gluconate 5-dehydrogenase,1
Firmicutes bacterium AM55-24TS,recombinase A,1
Firmicutes bacterium AM55-24TS,elongation factor Tu,2
Firmicutes bacterium AM55-24TS,putative ATP-binding component of a transport system,1
Firmicutes bacterium AM55-24TS,RNA polymerase sigma factor,1
Firmicutes bacterium AM55-24TS,excinuclease ABC subunit A,1
Firmicutes bacterium AM55-24TS,UDP-glucose pyrophosphorylase,1
Firmicutes bacterium AM55-24TS,"argininosuccinate synthase, putative",1
Firmicutes bacterium AM55-24TS,UDP-galactose-4-epimerase,1
Firmicutes bacterium AM55-24TS,carbamoyl phosphate synthase large subunit,1
Firmicutes bacterium AM55-24TS,geranyltranstransferase,2
Firmicutes bacterium AM55-24TS,ATP-dependent protease ATP-binding subunit ClpX,4
Firmicutes bacterium AM55-24TS,hypothetical protein SP_0939,1
Firmicutes bacterium AM55-24TS,ATP-dependent protease,2
Firmicutes bacterium AM55-24TS,DNA-directed RNA polymerase subunit beta,3
Streptococcus thermophilus,metallo-beta-lactamase superfamily protein,3
Streptococcus thermophilus,endopeptidase Clp ATP-binding chain C,1
Streptococcus thermophilus,LysR family transcriptional regulator,1
Streptococcus thermophilus,tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,1
Streptococcus thermophilus,excinuclease ABC subunit A,1
Streptococcus thermophilus,oligopeptide ABC transporter permease AmiC,2
Streptococcus thermophilus,DNA-directed RNA polymerase subunit delta,2
Streptococcus thermophilus,thymidine kinase,1
Streptococcus thermophilus,phosphotransferase system enzyme I,1
Streptococcus thermophilus,TCS sensor kinase VicK,1
Streptococcus thermophilus,acetolactate synthase catalytic subunit,2
Streptococcus thermophilus,fructose-bisphosphate aldolase,1
Streptococcus thermophilus,amino acid ABC transporter permease,1
Streptococcus thermophilus,ATP-dependent Clp protease proteolytic subunit,3
Streptococcus thermophilus,ABC transporter amino acid-binding protein/permease,1
Streptococcus thermophilus,"glutamine synthetase, type I",2
Streptococcus thermophilus,UDP-glucose pyrophosphorylase,1
Streptococcus thermophilus,sortase,1
Streptococcus thermophilus,aspartate aminotransferase,1
Streptococcus thermophilus,DNA polymerase III PolC,2
Streptococcus thermophilus,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,1
Akkermansia muciniphila,twitching motility protein PilT,1
Akkermansia muciniphila,catalase,3
Akkermansia muciniphila,leucyl-tRNA synthetase,1
Akkermansia muciniphila,GDP-D-mannose dehydratase,1
Akkermansia muciniphila,molecular chaperone DnaK,2
Akkermansia muciniphila,aconitate hydratase,4
Akkermansia muciniphila,endopeptidase Clp ATP-binding chain C,5
Akkermansia muciniphila,TDP-4-oxo-6-deoxy-D-glucose transaminase,1
Akkermansia muciniphila,glutamate dehydrogenase,1
Akkermansia muciniphila,DNA-directed RNA polymerase subunit beta,2
Akkermansia muciniphila,ATP-dependent protease,1
Akkermansia muciniphila,phospho-2-dehydro-3-deoxyheptonate aldolase,1
Akkermansia muciniphila,carbamoyl phosphate synthase large subunit,2
Akkermansia muciniphila,S-adenosylmethionine synthase,1
Akkermansia muciniphila,ATP-dependent protease ATP-binding subunit ClpX,1
Akkermansia muciniphila,chaperonin GroEL,1
Akkermansia muciniphila,glutamate synthase NADPH large chain,1
Dorea longicatena,carbamoyl phosphate synthase large subunit,1
Dorea longicatena,UDP-glucose 6-dehydrogenase,1
Dorea longicatena,ATP-dependent protease ATP-binding subunit ClpX,2
Dorea longicatena,"Hsp60, 60K heat shock protein HtpB",1
Dorea longicatena,capsular polysaccharide synthesis enzyme Cap8D,2
Dorea longicatena,DNA excision repair protein subunit A,5
Dorea longicatena,CTP synthetase,2
Dorea longicatena,molecular chaperone DnaK,2
Dorea longicatena,UDP-glucose 4-epimerase,1
Dorea longicatena,"dTDP-glucose 4,6-dehydratase",1
Dorea longicatena,endopeptidase Clp ATP-binding chain C,1
Dorea longicatena,TDP-glucose pyrophosphorylase,1
Dorea longicatena,glutamate dehydrogenase,1
Dorea longicatena,formate--tetrahydrofolate ligase,1
Dorea longicatena,excinuclease ABC subunit A,3
Dorea longicatena,ATP-dependent Clp protease proteolytic subunit,1
Dorea longicatena,putative ATP-binding component of a transport system,1
Megamonas funiformis,formate acetyltransferase,1
Megamonas funiformis,CTP synthetase,1
Megamonas funiformis,DNA gyrase subunit A,1
Megamonas funiformis,serine hydroxymethyltransferase,1
Megamonas funiformis,DNA-directed RNA polymerase subunit beta,1
Megamonas funiformis,GTP-binding protein LepA,1
Megamonas funiformis,ATP-dependent protease ATP-binding subunit ClpX,1
Megamonas funiformis,hypothetical protein SPy_1633,1
Megamonas funiformis,elongation factor Tu,1
Megamonas funiformis,ATP-dependent Clp protease proteolytic subunit,1
Megamonas funiformis,pyrimidine-nucleoside phosphorylase,3
Megamonas funiformis,recombinase A,3
Megamonas funiformis,RNA polymerase sigma factor,2
Megamonas funiformis,formate--tetrahydrofolate ligase,1
Megamonas funiformis,excinuclease ABC subunit A,1
Megamonas funiformis,endopeptidase Clp ATP-binding chain C,3
Megamonas funiformis,molecular chaperone DnaK,2
Megamonas funiformis,phosphoribosylformylglycinamide synthetase,1
Megamonas funiformis,tryptophan synthase subunit beta,1
uncultured Clostridium sp.,Listeria adhesion protein Lap,2
uncultured Clostridium sp.,preprotein translocase subunit SecA,1
uncultured Clostridium sp.,ATP-dependent protease ATP-binding subunit ClpX,4
uncultured Clostridium sp.,"Hsp60, 60K heat shock protein HtpB",1
uncultured Clostridium sp.,formate--tetrahydrofolate ligase,1
uncultured Clostridium sp.,excinuclease ABC subunit A,2
uncultured Clostridium sp.,RNA polymerase sigma factor,1
uncultured Clostridium sp.,hypothetical protein lmo2206,1
uncultured Clostridium sp.,"CapB, involved in Poly-gamma-glutamate synthesis",1
uncultured Clostridium sp.,hypothetical protein,1
uncultured Clostridium sp.,elongation factor Tu,4
uncultured Clostridium sp.,recombinase A,2
uncultured Clostridium sp.,ATP-dependent Clp protease proteolytic subunit,1
uncultured Clostridium sp.,molecular chaperone DnaK,1
uncultured Clostridium sp.,capsular polysaccharide biosynthesis protein Cps4K,2
uncultured Clostridium sp.,endopeptidase Clp ATP-binding chain C,2
uncultured Eubacterium sp.,DNA-directed RNA polymerase subunit beta,4
uncultured Eubacterium sp.,ATP-dependent protease,1
uncultured Eubacterium sp.,formate acetyltransferase,1
uncultured Eubacterium sp.,F0F1 ATP synthase subunit alpha,1
uncultured Eubacterium sp.,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Eubacterium sp.,"type I restriction-modification system, M subunit",1
uncultured Eubacterium sp.,ClpB protein,1
uncultured Eubacterium sp.,hypothetical protein lmo2206,2
uncultured Eubacterium sp.,gluconate 5-dehydrogenase,1
uncultured Eubacterium sp.,putative ATP-binding component of a transport system,4
uncultured Eubacterium sp.,UDP-N-acetylglucosamine 2-epimerase,1
uncultured Eubacterium sp.,phosphoribosylformylglycinamide synthetase,1
uncultured Eubacterium sp.,molecular chaperone DnaK,2
uncultured Eubacterium sp.,GMP synthase,1
uncultured Eubacterium sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Eubacterium sp.,RNA polymerase sigma factor SigB,2
uncultured Eubacterium sp.,glutamate dehydrogenase,1
Gemmiger formicilis,capsular polysaccharide biosynthesis protein Cps4K,1
Gemmiger formicilis,TDP-4-oxo-6-deoxy-D-glucose transaminase,1
Gemmiger formicilis,endopeptidase Clp ATP-binding chain C,1
Gemmiger formicilis,peptide chain release factor 3,1
Gemmiger formicilis,resolvase family site-specific recombinase,4
Gemmiger formicilis,UDP-N-acetylglucosamine 2-epimerase,7
Gemmiger formicilis,UDP-glucose 6-dehydrogenase,1
Gemmiger formicilis,molecular chaperone DnaK,1
Gemmiger formicilis,GTP-binding protein LepA,1
Gemmiger formicilis,preprotein translocase subunit SecA,1
Gemmiger formicilis,putative ATP-binding component of a transport system,1
Gemmiger formicilis,gluconate 5-dehydrogenase,3
Gemmiger formicilis,DNA excision repair protein subunit A,1
Gemmiger formicilis,DNA-directed RNA polymerase subunit beta,1
Gemmiger formicilis,RNA polymerase sigma factor,1
Bacteroides uniformis,dihydroxy-acid dehydratase,2
Bacteroides uniformis,protein disaggregation chaperone,1
Bacteroides uniformis,UDP-glucose 6-dehydrogenase,1
Bacteroides uniformis,DNA topoisomerase IV subunit B,1
Bacteroides uniformis,putative ABC transporter ATP-binding protein,1
Bacteroides uniformis,ABC transporter ATP-binding protein,1
Bacteroides uniformis,excinuclease ABC subunit A,2
Bacteroides uniformis,phosphate ABC transporter ATP-binding protein,1
Bacteroides uniformis,1-deoxy-D-xylulose-5-phosphate synthase,1
Bacteroides uniformis,phosphoglyceromutase,1
Bacteroides uniformis,hypothetical protein,1
Bacteroides uniformis,gluconate 5-dehydrogenase,1
Bacteroides uniformis,recombinase A,1
Bacteroides uniformis,molecular chaperone DnaK,1
Bacteroides uniformis,UDP-N-acetylglucosamine 2-epimerase,2
Bacteroides uniformis,GDP-D-mannose dehydratase,1
Bacteroides uniformis,malic enzyme,1
Bacteroides uniformis,glutamate dehydrogenase,1
Bacteroides uniformis,"GDP-mannose 4,6-dehydratase",3
Bacteroides uniformis,endopeptidase Clp ATP-binding chain C,1
Pseudoruminoccoccus massiliensis,RNA polymerase sigma factor,1
Pseudoruminoccoccus massiliensis,formate--tetrahydrofolate ligase,2
Pseudoruminoccoccus massiliensis,DNA excision repair protein subunit A,1
Pseudoruminoccoccus massiliensis,excinuclease ABC subunit A,1
Pseudoruminoccoccus massiliensis,pyruvate kinase,1
Pseudoruminoccoccus massiliensis,CTP synthetase,1
Pseudoruminoccoccus massiliensis,preprotein translocase subunit SecA,1
Pseudoruminoccoccus massiliensis,putative ATP-binding component of a transport system,5
Pseudoruminoccoccus massiliensis,GTP-binding protein LepA,1
Pseudoruminoccoccus massiliensis,molecular chaperone DnaK,1
Pseudoruminoccoccus massiliensis,ATP-dependent protease ATP-binding subunit ClpX,1
Pseudoruminoccoccus massiliensis,F0F1 ATP synthase subunit alpha,2
Pseudoruminoccoccus massiliensis,chaperonin GroEL,1
Pseudoruminoccoccus massiliensis,glutamate dehydrogenase,4
uncultured Ruminococcaceae bacterium,UDP-N-acetylglucosamine 2-epimerase,1
uncultured Ruminococcaceae bacterium,sugar ABC transporter ATP-binding protein,1
uncultured Ruminococcaceae bacterium,capsular polysaccharide biosynthesis protein Cps4K,1
uncultured Ruminococcaceae bacterium,RNA polymerase sigma factor SigB,1
uncultured Ruminococcaceae bacterium,endopeptidase Clp ATP-binding chain C,2
uncultured Ruminococcaceae bacterium,excinuclease ABC subunit A,2
uncultured Ruminococcaceae bacterium,gluconate 5-dehydrogenase,1
uncultured Ruminococcaceae bacterium,elongation factor Tu,1
uncultured Ruminococcaceae bacterium,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Ruminococcaceae bacterium,formate acetyltransferase 3,2
uncultured Ruminococcaceae bacterium,carbamoyl phosphate synthase large subunit,2
uncultured Ruminococcaceae bacterium,myo-inositol-1-phosphate synthase INO1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase),1
uncultured Ruminococcaceae bacterium,DNA-directed RNA polymerase subunit beta,1
uncultured Ruminococcaceae bacterium,urease,1
uncultured Ruminococcaceae bacterium,serine hydroxymethyltransferase,1
uncultured Ruminococcaceae bacterium,DNA polymerase III PolC,1
uncultured Blautia sp.,sugar ABC transporter ATP-binding protein,1
uncultured Blautia sp.,glucose-1-phosphate thymidylyltransferase,2
uncultured Blautia sp.,molecular chaperone DnaK,1
uncultured Blautia sp.,endopeptidase Clp ATP-binding chain C,1
uncultured Blautia sp.,RNA polymerase sigma factor SigB,1
uncultured Blautia sp.,formate--tetrahydrofolate ligase,2
uncultured Blautia sp.,hypothetical protein,1
uncultured Blautia sp.,putative ATP-binding component of a transport system,1
uncultured Blautia sp.,UreC,1
uncultured Blautia sp.,GTP-binding protein LepA,1
uncultured Blautia sp.,ATP-dependent protease ATP-binding subunit ClpX,1
uncultured Blautia sp.,F0F1 ATP synthase subunit alpha,1
uncultured Blautia sp.,resolvase family site-specific recombinase,2
uncultured Blautia sp.,glutamate synthase NADPH large chain,1
uncultured Blautia sp.,GTP-dependent nucleic acid-binding protein EngD,1
uncultured Blautia sp.,imidazole glycerol phosphate synthase subunit HisF,1
Clostridiales bacterium,excinuclease ABC subunit A,1
Clostridiales bacterium,formate--tetrahydrofolate ligase,1
Clostridiales bacterium,DNA-directed RNA polymerase subunit beta,3
Clostridiales bacterium,RNA polymerase sigma factor,1
Clostridiales bacterium,hypothetical protein lmo2206,4
Clostridiales bacterium,hypothetical protein,1
Clostridiales bacterium,ATP-dependent protease,3
Clostridiales bacterium,molecular chaperone DnaK,3
Clostridiales bacterium,ATP-dependent protease ATP-binding subunit ClpX,1
Clostridiales bacterium,RNA polymerase sigma factor SigB,1
uncultured Lachnospiraceae bacterium,recombinase A,2
uncultured Lachnospiraceae bacterium,ATP-dependent Clp protease proteolytic subunit,1
uncultured Lachnospiraceae bacterium,polysaccharide biosynthesis protein CpsF,1
uncultured Lachnospiraceae bacterium,capsular polysaccharide biosynthesis protein Cps4J,1
uncultured Lachnospiraceae bacterium,putative ATP-binding component of a transport system,1
uncultured Lachnospiraceae bacterium,RNA polymerase sigma factor,1
uncultured Lachnospiraceae bacterium,serine hydroxymethyltransferase,1
uncultured Lachnospiraceae bacterium,formate--tetrahydrofolate ligase,2
uncultured Lachnospiraceae bacterium,endopeptidase Clp ATP-binding chain C,2
uncultured Lachnospiraceae bacterium,glutamate dehydrogenase,1
uncultured Lachnospiraceae bacterium,alginate o-acetyltransferase AlgI,1
uncultured Lachnospiraceae bacterium,carbamoyl phosphate synthase large subunit,1
uncultured Lachnospiraceae bacterium,F0F1 ATP synthase subunit alpha,1
uncultured Lachnospiraceae bacterium,lysine decarboxylase,1
uncultured Lachnospiraceae bacterium,ATP-dependent protease ATP-binding subunit ClpX,2
Firmicutes bacterium CAG:124,UDP-N-acetylglucosamine-2-epimerase,1
Firmicutes bacterium CAG:124,ATP-dependent protease ATP-binding subunit ClpX,2
Firmicutes bacterium CAG:124,glutamate synthase NADPH large chain,1
Firmicutes bacterium CAG:124,endopeptidase Clp ATP-binding chain C,1
Firmicutes bacterium CAG:124,DNA-directed RNA polymerase subunit beta,1
Firmicutes bacterium CAG:124,excinuclease ABC subunit A,4
Firmicutes bacterium CAG:124,cell division protein FtsZ,1
Firmicutes bacterium CAG:124,RNA polymerase sigma factor,1
Firmicutes bacterium CAG:124,galactose/methyl galaxtoside transporter ATP-binding protein,1
Firmicutes bacterium CAG:124,putative ATP-binding component of a transport system,2
Firmicutes bacterium CAG:124,CTP synthetase,1
Firmicutes bacterium CAG:124,recombinase A,2
Firmicutes bacterium CAG:124,elongation factor Tu,1
Bacteroides ovatus,formate--tetrahydrofolate ligase,1
Bacteroides ovatus,"Vi polysaccharide biosynthesis protein, epimerase TviC",1
Bacteroides ovatus,catalase,2
Bacteroides ovatus,capsular polysaccharide biosynthesis protein Cps4J,1
Bacteroides ovatus,dihydroxy-acid dehydratase,3
Bacteroides ovatus,UDP-N-acetylglucosamine 2-epimerase,1
Bacteroides ovatus,GTP-binding protein LepA,2
Bacteroides ovatus,S-adenosylmethionine synthase,1
Bacteroides ovatus,endopeptidase Clp ATP-binding chain C,2
Bacteroides ovatus,"GDP-mannose 4,6-dehydratase",2
Bacteroides ovatus,isopropylmalate isomerase large subunit,1
Bacteroides ovatus,glutamate synthase NADPH large chain,1
Bacteroides ovatus,malic enzyme,1
Blautia massiliensis,lysine decarboxylase,1
Blautia massiliensis,GTP-binding protein LepA,2
Blautia massiliensis,sugar ABC transporter ATP-binding protein,1
Blautia massiliensis,glucose-1-phosphate thymidylyltransferase,1
Blautia massiliensis,RNA polymerase sigma factor SigB,1
Blautia massiliensis,ClpB protein,1
Blautia massiliensis,chaperonin GroEL,1
Blautia massiliensis,formate--tetrahydrofolate ligase,1
Blautia massiliensis,DNA-directed RNA polymerase subunit beta,2
Blautia massiliensis,DNA excision repair protein subunit A,1
Blautia massiliensis,RNA polymerase sigma factor,1
Blautia massiliensis,hypothetical protein,2
Blautia massiliensis,CTP synthetase,1
Blautia massiliensis,recombinase A,1
Blautia massiliensis,elongation factor Tu,1
Lachnospiraceae bacterium,F0F1 ATP synthase subunit alpha,1
Lachnospiraceae bacterium,ATP-dependent protease ATP-binding subunit ClpX,2
Lachnospiraceae bacterium,UDP-glucose 6-dehydrogenase,3
Lachnospiraceae bacterium,endopeptidase Clp ATP-binding chain C,2
Lachnospiraceae bacterium,RNA polymerase sigma factor,1
Lachnospiraceae bacterium,excinuclease ABC subunit A,4
Lachnospiraceae bacterium,DNA excision repair protein subunit A,1
Lachnospiraceae bacterium,serine hydroxymethyltransferase,1
Lachnospiraceae bacterium,elongation factor Tu,1
Lachnospiraceae bacterium,CTP synthetase,1
Lachnospiraceae bacterium,polysaccharide biosynthesis protein CpsF,1
Alistipes shahii,dihydroxy-acid dehydratase,2
Alistipes shahii,catalase,2
Alistipes shahii,gluconate 5-dehydrogenase,1
Alistipes shahii,ABC transporter ATP-binding protein,1
Alistipes shahii,excinuclease ABC subunit A,1
Alistipes shahii,glutamate dehydrogenase,1
Alistipes shahii,chaperonin GroEL,1
Alistipes shahii,endopeptidase Clp ATP-binding chain C,3
Alistipes shahii,S-adenosylmethionine synthase,1
Alistipes shahii,molecular chaperone DnaK,2
Alistipes shahii,thymidylate synthase,1
Alistipes shahii,ATP-dependent protease ATP-binding subunit ClpX,1
Alistipes shahii,carbamoyl phosphate synthase large subunit,1
Firmicutes bacterium TM09-10,glutamate dehydrogenase,3
Firmicutes bacterium TM09-10,"Hsp60, 60K heat shock protein HtpB",1
Firmicutes bacterium TM09-10,hypothetical protein SP_0939,2
Firmicutes bacterium TM09-10,F0F1 ATP synthase subunit alpha,2
Firmicutes bacterium TM09-10,molecular chaperone DnaK,1
Firmicutes bacterium TM09-10,carbamoyl phosphate synthase large subunit,1
Firmicutes bacterium TM09-10,putative ATP-binding component of a transport system,1
Firmicutes bacterium TM09-10,UDP-galactopyranose mutase,1
Firmicutes bacterium TM09-10,hypothetical protein,1
Firmicutes bacterium TM09-10,elongation factor Tu,2
Firmicutes bacterium TM09-10,excinuclease ABC subunit A,1
Firmicutes bacterium TM09-10,DNA-directed RNA polymerase subunit beta,1
Parabacteroides distasonis,formate acetyltransferase 3,1
Parabacteroides distasonis,UDP-N-acetylglucosamine 2-epimerase,3
Parabacteroides distasonis,DedA protein,1
Parabacteroides distasonis,DNA-directed RNA polymerase subunit beta,1
Parabacteroides distasonis,formate--tetrahydrofolate ligase,1
Parabacteroides distasonis,elongation factor Tu,1
Parabacteroides distasonis,recombinase A,4
Parabacteroides distasonis,dihydroxy-acid dehydratase,2
Parabacteroides distasonis,UDP-galactopyranose mutase,1
